eta1	eta2	eta3	eta4	u0	u1	u2	u3	u4
1	1.111111	1	1	-0.25	0.0625	0.08572	-0.02143	0.007348
1	1.111111	1	1	-0.2	0.04	0.064319	-0.012864	0.004137
1	1.111111	1	1	-0.15	0.0225	0.047691	-0.007154	0.002274
1	1.111111	1	1	-0.1	0.01	0.035823	-0.003582	0.001283
1	1.111111	1	1	-0.05	0.0025	0.028706	-0.001435	0.000824
1	1.111111	1	1	0	0	0.026334	0	0.000693
1	1.111111	1	1	0.05	0.0025	0.028706	0.001435	0.000824
1	1.111111	1	1	0.1	0.01	0.035823	0.003582	0.001283
1	1.111111	1	1	0.15	0.0225	0.047691	0.007154	0.002274
1	1.111111	1	1	0.2	0.04	0.064319	0.012864	0.004137
1	1.111111	1	1	0.25	0.0625	0.08572	0.02143	0.007348
1	1.111111	1	1	0.3	0.09	0.111909	0.033573	0.012524
1	1.111111	1	1	0.35	0.1225	0.142906	0.050017	0.020422
1	1.111111	1	1	0.4	0.16	0.178735	0.071494	0.031946
1	1.111111	1	1	0.45	0.2025	0.219425	0.098741	0.048147
1	1.111111	1	1	0.5	0.25	0.265006	0.132503	0.070228
1	1.111111	1	1	0.55	0.3025	0.315514	0.173533	0.099549
1	1.111111	1	1	0.6	0.36	0.37099	0.222594	0.137634
1	1.111111	1	1	0.65	0.4225	0.431478	0.280461	0.186173
1	1.111111	1	1	0.7	0.49	0.497027	0.347919	0.247036
1	1.111111	1	1	0.75	0.5625	0.567691	0.425769	0.322274
1	1.111111	1	1	0.8	0.64	0.64353	0.514824	0.414131
1	1.111111	1	1	0.85	0.7225	0.724607	0.615916	0.525055
1	1.111111	1	1	0.9	0.81	0.810992	0.729893	0.657709
1	1.111111	1	1	0.95	0.9025	0.902763	0.857625	0.81498
